"participant_id","data_id","order","answer","score","instrument","domain","varcond","competition","performer_1","performer_2"
1,27,"a",1,1,"Piano","Visual-only","low-variance","International Franz Liszt Piano Competition","Jean Dube","Ilona Timchenko"
1,24,"a",2,0,"Piano","Audio-only","low-variance","San Marino Piano Competition","Daniil Trifonov","Lukas Geniusas"
1,5,"b",2,1,"Piano","Audio-only","low-variance","Van Cliburn International Piano Competition","Haochen Zhang","Mariangela Vacatello"
1,19,"b",1,0,"Tsugaru shamisen","Audio-only","high-variance","International Hirosaki Tsugaru shamisen Competition","Yurato Sugawara","Marina Nakamura"
1,37,"a",2,0,"Piano","Visual-only","high-variance","International Franz Liszt Piano Competition","Vitaly Pisarenko","Anzhelika Fuks"
1,29,"a",1,1,"Piano","Visual-only","low-variance","San Marino Piano Competition","Daniil Trifonov","Lukas Geniusas"
1,8,"a",2,0,"Tsugaru shamisen","Audio-only","low-variance","International Biwako Tsugaru shamisen Competition","Maimu Onodera","Yoshiki Shinohara"
1,48,"a",2,0,"Piano","Visual-only","low-variance","Cleveland International Piano Competition","Martin Filjak","Dmitri Levkovich"
1,32,"b",2,1,"Tsugaru shamisen","Visual-only","low-variance","International Michinoku Tsugaru shamisen Competition","Syuntaro Komachi","Tetsuya Suzuki"
1,40,"a",2,0,"Piano","Visual-only","high-variance","International Franz Liszt Piano Competition","Masataka Goto","Ivan Penkov"
1,30,"b",1,0,"Piano","Visual-only","low-variance","Van Cliburn International Piano Competition","Haochen Zhang","Mariangela Vacatello"
1,18,"a",1,1,"Tsugaru shamisen","Audio-only","high-variance","International Biwako Tsugaru shamisen Competition","Yu Wan","Naoko Kito"
1,26,"b",2,1,"Piano","Visual-only","low-variance","Van Cliburn International Piano Competition","Jon Nakamatsu","Yakov Kasman"
1,33,"b",2,1,"Tsugaru shamisen","Visual-only","low-variance","International Biwako Tsugaru shamisen Competition","Maimu Onodera","Yoshiki Shinohara"
1,44,"b",1,0,"Tsugaru shamisen","Visual-only","high-variance","International Hirosaki Tsugaru shamisen Competition","Yurato Sugawara","Marina Nakamura"
1,21,"a",2,0,"Piano","Audio-only","low-variance","Van Cliburn International Piano Competition","Nobuyuki Tsujii","Yeol Eum Son"
1,35,"b",2,1,"Tsugaru shamisen","Visual-only","low-variance","International Hirosaki Tsugaru shamisen Competition","Ryoya Sato","Ryuga Sato"
1,13,"a",2,0,"Piano","Audio-only","high-variance","San Marino Piano Competition","Dongkyu Kim","Yuhi Ozaki"
1,15,"a",2,0,"Piano","Audio-only","high-variance","International Franz Liszt Piano Competition","Masataka Goto","Ivan Penkov"
1,39,"b",2,1,"Piano","Visual-only","high-variance","Van Cliburn International Piano Competition","Vadym Kholodenko","Steven Lin"
1,23,"a",1,1,"Piano","Audio-only","low-variance","Cleveland International Piano Competition","Martin Filjak","Dmitri Levkovich"
1,42,"b",1,0,"Tsugaru shamisen","Visual-only","high-variance","International Biwako Tsugaru shamisen Competition","Kasumi Minato","Ando Yumi"
1,34,"a",1,1,"Tsugaru shamisen","Visual-only","low-variance","International Biwako Tsugaru shamisen Competition","Keiko Nishiyama","Yoshimi Ooyabe"
1,7,"a",2,0,"Tsugaru shamisen","Audio-only","low-variance","International Michinoku Tsugaru shamisen Competition","Syuntaro Komachi","Tetsuya Suzuki"
1,1,"a",2,0,"Piano","Audio-only","low-variance","Van Cliburn International Piano Competition","Jon Nakamatsu","Yakov Kasman"
1,38,"b",2,1,"Piano","Visual-only","high-variance","San Marino Piano Competition","Dongkyu Kim","Yuhi Ozaki"
1,49,"b",2,1,"Piano","Visual-only","low-variance","San Marino Piano Competition","Daniil Trifonov","Lukas Geniusas"
1,31,"a",2,0,"Tsugaru shamisen","Visual-only","low-variance","International Michinoku Tsugaru shamisen Competition","Yuumi Agawa","Satsuki Muramatsu"
1,50,"b",2,1,"Piano","Visual-only","low-variance","International Franz Liszt Piano Competition","Vitaly Pisarenko","Nino Gvetadze"
1,12,"a",2,0,"Piano","Audio-only","high-variance","International Franz Liszt Piano Competition","Vitaly Pisarenko","Anzhelika Fuks"
1,4,"b",1,0,"Piano","Audio-only","low-variance","San Marino Piano Competition","Daniil Trifonov","Lukas Geniusas"
1,16,"a",1,1,"Tsugaru shamisen","Audio-only","high-variance","International Michinoku Tsugaru shamisen Competition","Keita Tanase","Akane Uto"
1,36,"b",2,1,"Piano","Visual-only","high-variance","Van Cliburn International Piano Competition","Nobuyuki Tsujii","Ran Dank"
1,14,"b",2,1,"Piano","Audio-only","high-variance","Van Cliburn International Piano Competition","Vadym Kholodenko","Steven Lin"
1,3,"a",2,0,"Piano","Audio-only","low-variance","International Franz Liszt Piano Competition","Yingdi Sun","Anton Salnikov"
1,43,"a",2,0,"Tsugaru shamisen","Visual-only","high-variance","International Biwako Tsugaru shamisen Competition","Yu Wan","Naoko Kito"
1,46,"a",1,1,"Piano","Visual-only","low-variance","Van Cliburn International Piano Competition","Nobuyuki Tsujii","Yeol Eum Son"
1,28,"a",2,0,"Piano","Visual-only","low-variance","International Franz Liszt Piano Competition","Yingdi Sun","Anton Salnikov"
1,10,"b",1,0,"Tsugaru shamisen","Audio-only","low-variance","International Hirosaki Tsugaru shamisen Competition","Ryoya Sato","Ryuga Sato"
1,11,"b",2,1,"Piano","Audio-only","high-variance","Van Cliburn International Piano Competition","Nobuyuki Tsujii","Ran Dank"
1,17,"b",2,1,"Tsugaru shamisen","Audio-only","high-variance","International Biwako Tsugaru shamisen Competition","Kasumi Minato","Ando Yumi"
1,45,"b",1,0,"Tsugaru shamisen","Visual-only","high-variance","International Hirosaki Tsugaru shamisen Competition","Yoko Hukase","Hiroki Sato"
1,9,"a",2,0,"Tsugaru shamisen","Audio-only","low-variance","International Biwako Tsugaru shamisen Competition","Keiko Nishiyama","Yoshimi Ooyabe"
